Text,is_toxic
รัฐบาลยังถังแตกนับประสาไรกับประชาชนอีหอย,1
ไม่เคยเอาเสียงประชาชนไปปรับ อยากทำไรก็ทำ ละก็มาอ้างว่าเข้าใจรัฐบาลหน่อย เข้าใจกับหอยไรล่ะ,1
รัฐบาลมองการไกลชิหอยซื้อเรือดำน้ำมาเตรียมใช้ในกทมนี่เอง,1
ขอเวลาให้กูได้พักผ่อนและนอนได้มั้ย ไม่เอาการบ้านแล้วได้มั้ย แผนบลาๆๆหอยหลอดนี่ก็เยอะไป ดีนะที่งานวิจัยมันถูกซัพพอร์ตไปเยอะแล้ว ไม่งั้นกูตาย,0
นักร้องดังไม่ดังไม่ได้อยู่ที่มึงคนเดียวแมะ บางทีเค้าดังแต่มึงไม่ออกจากกะลามาดู มึงก็ไม่รู้จักเค้าหรอก อีหอยขม,1
อีกหนึ่งความฉห บนท้องถนนคือ ตำรวจตั้งด่าน แล้วรอเขียนใบสั่ง อีหอย สร้างความรำคาญ รถติดเพิ่มเติม,1
ถึง อีหอย ถ้าเห็นทวิตกูขอให้กรรมตามทันมึง อีเลว กูจะรอวันนั้น,1
ถ้ารถตู้ยังไม่ออกตอนนี้กูจะกลานเป็นต้นแคกตัสแล้วค่ะ หอย,0
พี่รหัสแม่งกวนตีนชิบหาย หอยหลอด,0
อีดอก ร้านบางร้านขายของมึงไม่ขอบคุณลูกค้าเลยหรือไง กุซื้อของมึงกุยังขอบคุณมึงอ่ะ  หอยหลอด,1
มีสิทธิอะไรมาบอกว่าฉันจะไม่จบ แช่งตั้งแต่วันแรกเลยนะมึง ว้อย คิดแล้วก็ขำ หอยหลอด คำพูดดี ๆมีตั้งเยอะทำไมไม่พูด หุนหวย,0
กูไม่ชอบคนพูดจาแบบนี้เลยอีห่า,1
ไม่อยากจะพูดถึงซีเกมส์ครับ เจ้าภาพกวนส้นตีนขนาดนี้ มึงไม่แข่งกันเองให้เหรียญกันเองเลยล่ะ หอยหลอด,1
รู้มาตลอดว่ากดดันในการเปลี่ยนแนวเพลงแล้วฟคไม่โอเค แต่ไม่คิดว่าจะใช้วิธีนี้ ใจร้ายชิบหายอิดวกฟคหน้าหอย สาปแช่งมันนน,1
แถวบ้านมีงานศาลเจ้าแม่ซัมติง เปิดเพลงสนั่นหวั่นไหวมาก ถ้ากูเป็นเจ้าแม่คงสาปแช่งอีพวกนี้ไปนานละ หอยหลอด คนจะหลับจะนอน,1
เป็นประเทศที่ปชชด่ายังไงก็ไม่ละอายใจ หน้าด้านขั้นสุด แล้วยังอยากให้เยาวชนเติบโตเป็นคนดี หอย,1
สัส โทรหาศูนย์ก็ไม่รับ ดอกหอย,1
กับหอยมันบริการโคตรเร็ว พอกับหำทำไมมันไม่สนใจตูเลย,1
อีหอยหลอดนี้ยังไม่ตายหรอคะ,1
ไม่ชอบเวลาตัวเองซื้อคอนแทคมาละคิดว่าใส่แล้วสวยแน่ๆ พอใส่จริงๆเหมือนผีเลยอีหอย,0
รำคาญ อีหอย มีเงินกูตามไม่ให้ผลุดไม่ให้เกิดเลย,1
ปากบอกว่ายุ่ง แต่เสือกถ่ายรูปเล่นกัน โว๊ะ แล้วก็โยนงานร้อนมาให้กุ อีห่า,1
เดี๋ยวนี้คนเขียนสันดานเป็นสันดาร ทูนหัวเป็นทูลหัว สถุนเป็นสถุล กลอกตาเป็นกรอกตาหมดแล้วอะ เฮ้อ,0
ภารกิจวันนี้ คือการซื้อผ้าเย็บปลอกหมอนให้คุณใบโต เสร็จร้อยเรียบ แต่ฝีเย็บนี่เลวมากอะ สมกับเป็นสถุลสตรีจิงๆ,0
หงิดระดับที่ไมีจำเป็นต้องรักษาความเป็นญ พร้อมด่าเป็นภาษาพ่อขุนยันความสถุลในตัว,0
ประกาศตัวว่าเป็นแฟนคลับเขา ไม่อยากให้ใครด่า แต่ตัวเองก็ไปด่าไอดอลคนอื่น อะไรว๊าาาา ตัวเองด่าได้สถุลได้ แต่คนอื่นห้ามมาร้ายใส่งี้หรอ,1
เสียชาติเกิดจังค่ะ ตํ่า สถุล คำพูดแบบนี้เก็บไว้พูดขอชีวิตตอนตายนะค่ะ,1
คนประเภทที่ชอบอะไรสถุลๆ ถ่อยๆแล้วคิดว่าเท่เนี่ย น่ากลัวชิบหาย  เคยเผลอไปอยู่ใกล้แล้วรับไม่ได้จริงๆ,1
ไม่ใช่เรื่องที่มึงจะมาด่ากู เพราะถ้ามึงด่ากูมึงล้ำเส้นแล้วล่ะ อีดอก อีสถุล,1
ที่ดูดีมีวิวัฒนาการขึ้นมาหน่อยนึง ก็จะบอกว่า มีไว้ทำให้ตัวเลขดูดีมีสกุล  แต่ถ้าทำมั่ว แก้คำว่า สกุล เป็น สถุล น่าจะใกล้เคียง,0
สถุลสัตว์ๆ นี่มันนายกหรืออันธพาลกันแน่บอกที,1
คนแรงๆนี่ถ้าเราสนิท เราจะบอกว่าเป็นคนตรงๆ  แต่ถ้าไม่สนิทหรืออยู่ฝ่ายตรงข้ามจะเรียกสถุล,0
พวกที่ชอบพูดจาต่ำๆหยาบคายกับทุกคนแล้วบอกว่าเป็นสไตล์ เอิ่มมม สไตล์หรือสถุลค่ะ,1
หลายครั้งแล้วนะ อีนี่ เป็นติ่งโดที่ถ่อยสถุลมาก ที่บ้านมึงเลี้ยงมายังไง คลุกข้าวให้กินพร้อมหมาแถวบ้านใช่มะ ปากถึงเหี้ยแบบนี้,1
คนเราก็แปลกดีนะ นิยมชมชอบพวกที่ทำตัวสถุล กักฬะ ยกยอปอปั้นกันเข้าไป มันไม่ใช่แนวเราอะ สถุลก็คือสกุล ไม่มีคำชมอะไรใดๆจะมอบให้ทั้งนั้น,1
ไอ้เหี้ยแล้วเมื่อกี้ลุงแก่ๆจะขึ้นรถ แม่งพอรู้ว่าจะไปใกล้ๆก็ไม่รับ สถุลที่ประเทศนี้หรือที่คน,1
โชคดีมากที่กูเรียนมา การรับน้องนี่ไม่มีอะไรสถุลแบบที่ทุกวันนี้เห็นในข่าว คนรับน้องกูลูกคุณหนู คนจัดก็ลูกคุณหนู สบายเลย,0
ฝรั่งที่มาเที่ยวเมืองไทย พยายามแต่งตัวให้เข้ากับอากาศมาก เสื้อกางเกงโปร่งดูสถุลย์ๆ แล้วดูคนไทย ใส่ยาวหนาอย่างกะอากาศติดลบ  องศา,1
ถ่อยสถุลวันๆเอาแต่ดูถูกประเทศตัวเอง แต่ไม่ไสหัวไปไหนสักที่ ตลกว่ะ ไอ้ ป,1
ลุงนี้เลวต่ำทรามยิ่งกว่าสัตว์นรก ด่าเหี้ยยังสงสารเหี้ยเลยสถุลมากขอให้ตายทรมานยิ่งกว่าหมาที่มันทับ,1
บางทีก็สงสารตัวเอง ที่สมองมันสั่งให้มีมารยาทกับอิพวกสถุลหยาบคาย คือไม่เข้าใจตัวเองว่าโดนมันหยาบคายใส่จะนิ่งทำไม ด่ามันกลับซิอิควัย,1
ที่ทำแต่ละเรื่อง สถุลๆเหล่านั้นก็ไม่ใช่วัฒนธรรมของประเทศไหนเหมือนกันนะ,1
วัดธรรมกายบริจาคถุง  ช่วยป้องกันชาวกรุงเทพจากน้ำบ่าปี  แต่พวกมันบางตัวกลับเนรคุณสถุลสัตว์,1
เจอแบบนี้ทีไร ผมต้องแช่งให้บ้านไฟไหม้ มีอันเป็นไปตายห่าตายโหงทุกรายอะ,1
ประเทศห่านี่หน้าด้านลืม,1
รู้สึกว่าตัวเองตอนนี้แม่งโคตรงอแงอ่ะ เหี้ยไรก็ไม่เอา เหี้ยไรก็ไม่ถูกใจสักอย่าง โคตรน่ารำคาญตัวเองตอนเป็นแบบนี้อ่ะ อยากเอาตัวเองไปทิ้ง อีห่า,1
ไลน์แม่งเป็นห่าอะไร ไม่ได้ปิดเสียงแจ้งเตือนก็ไม่เด้งแจ้งเตือน ทั้งๆที่เพื่อนตอบนานละ แต่พอเข้าแอปไปเสือกสั่น แล้วกูจะตั้งแจ้งเตือนเพื่อ สัส,0
เกลียดการทำงานไม่เป็นระบบ งานเร่ง งานห่าได้ๆก็แล้วแต่ที่ไม่รอบคอบ ไม่ละเอียด เหนื่อยตอนแรกดีกว่ามาเหนื่อยแก้เรื่อยๆป่ะ,0
ไอ้พวกที่บอกว่าภาษาจีนง่ายแค่นี้เอง อีห่าหอย มึงมาสอบเขียนตัวจีนแทนกูมั๊ยสัส,1
ไอสัสหัวเสียแต่ต้นเกม แม่งบอกบัตฝั่งนู่นแม่งเก่ง ดูบัตฝั่งเรากระจู๋หมา ห่าไร สัส เปนไงหล่ะตอนหลังกุคิลได้ มากกว่าพวกมึงตั้งเยอะ ควยย,1
เล่นอย่างนี้ลิ้วไม่ต้องมีผู้รักษาประตูหรอก ไงลูกก็ไปไม่ถึง อีห่า,1
แล้วเป็นห่าไรเอาหนังสือเรียนกุไปยัดข้างเตียงเนี่ยสัสส กุก็หาเข้าไปสิ จะไปเรียนสายละ รำคาญ,1
ยอมรับว่าเป็นคนใจร้าย แต่เวลาเจอพวกแบบ เดินมาขอค่ารถ ค่านมลูก ค่าข้าว นี่อยากเรียกตำรวจจับ อีห่า อ่อนแอก็ตายไป ตายห่าไปให้หมด,1
เจ็บใจฟุตบอลหญิง ถ้าเราได้คือแบบช่างแม่งเหอะเจ้าเหรียญห่าเหวไรที่โกงๆเนี๊ย แต่แม่งโกงบอลหญิงเราไป บอลชายล้างแค้นให้เด้อ,1
เน็ตหรือเน็ตอบตอีห่ากากชิบหาย,1
เกลียดตัวเองที่พูดภาษามาเลได้ ห่ารากก เสียเวลาร่ำเรียนมาแต่เด็ก ถุยยยย อีขี้โกง จะไม่พูดมาเลอีกต่อไป เหี้ยมาก หัวร้อนน โอ๊ยย เกลียดดดดดดดด,1
นี่ก็ไม่เข้าใจคนไทยที่พยายามจับผิดอ่ะ แบบตอนไทยเป็นเจ้าภาพก็ได้เหรียญเยอะ พอคนโวยเรื่องโกงเยอะๆก็หาว่าคิดไปเอง อีห่า,0
ติดตามเรื่องหมอฆ่าจงใจฆ่าหมาอยู่ อยากรู้ว่าจะโดนไล่ออกมั้ย จิงๆก็ควรไล่ออกนะ อีห่า ผีบ้ามาก ซื้อหมามาฆ่าเอาเงินประกันเนี่ยนะ,1
อีห่าคนเลวบนโลกนี้ก็เยอะจัง มันทำให้อดเป็นห่วงตัวเองและคนใกล้ชิดไม่ได้เลย,1
รถเมล์มึงไม่ต้องพัฒนาเหี้ยไรเยอะแยะหรอก มึงจอดให้ตรงป้ายก่อน สัด,1
แทนทีจะบริหารงานลดภาระให้ประชาชนแต่กลับเพิ่มภาระให้ประชาชนแทบทุกด้าน รัฐบาลเหี้ยๆเอาใจแต่นายทุน,1
เจอข่าวรัฐบาลสั่งลดประชากรสุนัขจรจัด ด้วยการวางยาเบื่อโคตรในโคตรเหี้ย,1
ไอจีโคตรเน่า กากด๋อย เข้าแล้วเด้ง,0
อย่าเรียกว่าเมืองพุทธเลยมึงอ่ะ นับถือมั่วไปหมด ศาลพระภูมิแม่งก็ไม่ใช่พุทธแล้ว สลิ่มทางศาสนาอีเหี้ย,1
แล้วผู้ปกครองประเทศก็ต่างบอกกันว่าไม่ใช่พวกมุสลิมที่ทำหรอก แต่มึงเชื่อเถอะ แม่งโคตรตอแหล ไม่ใช่ครั้งหรอกนะที่เกินเรื่องเหี้ยๆแบบนี้,1
ตรรกะเหี้ยๆ ของประเทศกะลานีเซียแลนด์ คัดค้านรัฐประหาร  ทำลายประชาธิปไตย ไอ้เหี้ย มึงจะตอแหลไปถึงไหนวะ,1
คนนั้นต้องใจเหี้ยขนาดไหนถึงคิดแบบนั้นได้วะ ความคิดต่ำเว่อร์ แบบเกิดเป็นคนมึงคิดได้แค่นี้หรอ แถมหน้าด้านเหมือนส้นตีนไปอีก,1
เกลียดมากเจอแท็กซี่ไม่กดมิเตอร์เนี่ย เป็นเหี้ยอะไรว่ะ ถ้ากดแล้วแพงกว่าเหมาจ่าย กูยอมจ่ายอ่ะ สบายใจกว่าที่จะรู้สึกเหมือนถูกโกง,1
จารึกไว้เลยว่าซีเกมส์ปีนี้เป็นปีที่โกงได้เหี้ยมที่สุดในประวัติศาสตร์โลกเลยก็ว่าไ้,1
ที่ชีวิตมึงเป็นแบบนี้เพราะมึงทำตัวเองไงอีควาย ทำตัวเป็นปลิงเกาะเพื่อนเกาะฝูงแดกมาตลอด กับเพื่อนกับฝูงยังโกงเงินกันได้เป็นหมื่นๆ เหี้ยจริงๆ,1
สันดานมาก โกงได้โกงไป ขอให้ทำอะไรไม่เจริญนะคะ  แต่มาโกงแบบนี้สันดานและเหี้ยมาก,1
เหี้ยสุดแล้วอะ เหี้ยทั้งบริษัท ศลป ฟค สมแล้วที่อยู่ด้วยกัน ต่ำกับไปด้วยกันน่ะจ๊ะ จับมือกะนให้แน่นล่ะ ต่ำ,1
โคตรเหี้ย กูถึงบอกไงว่าโลกนี้มันดีหมดแหละ ยกเว้นคนบนโลก น่ารังเกียจ น่าขยะแขยง ต่ำ โสมม สกปรก เห็นแล้วอยากจะอ้วก,1
เด็กกรุงเทพชั้นเลวเป็นเหี้ยอะไรกับสำเนียงต่างจังหวัด พอว่าเริ่มไม่ขำก็ยังไม่หยุด พอด่าตรงๆก็รับไม่ได้ ควย,1
เมื่อไหร่ระบบชีวิตกรุงเทพมันจะดีขึ้นสักที เหมือนยิ่งอยู่เหี้ยลงทุกวัน,1
อิควัย พูดภาษาอังกฤษได้ เขาจะทำงานร้านอาหารทำไม เดือนละพัน บ้าบออิคุกกี้กาแฟเนี้ย,1
จะไม่เปรียบมึงเหมือนหมา หรือด่ามึงว่าเหี้ย เพราะสัตว์สองชนิดนี้น่ารักกว่ามึง ทำแบบนี้ขอให้มันย้อนเข้าตัวคนที่มึงรักนะ อิสันขวาน,1
ข่าววางยาหมาเพื่อเอาเงินประกันนี่เหี้ยจริง เลวผิดมนุษย์มนา,0
คดีฆ่าหมาหวังเงินประกัน มีคนบอกว่าไม่ใช่แค่สองตัวนี้ด้วยนะ ต้องเป็นคนเหี้ยขนาดไหนอะ อยากเห็นหน้าว่ะ เอาให้ถึงที่สุดอะ,0
สอนคนอื่นจนลืมสอนสันดานของตัวมึงเองพูดเหี้ยอะไรไม่เคยทำได้อย่างที่พูด สักว่าแต่พูดคิดเหี้ยไรได้ก็พูด แบบนี้เรียกว่าปากเหี้ยๆแดกหมาไปทั้งตัว,1
คนดีก็ดีไป คนเหี้ยก็เหี้ยเสมอต้นเสมอปลาย,0
ปัญหาหลักๆมันคือ ไม่รู้ติดปัญหาหอกไร หรือไปเจอตอไร ประมูลรถเมล์ใหม่ ผ่านมาเป็นสิบปี ทุกขั๋วอำนาจ ก็ยังสามารถทำให้สำเร็จได้ ตลกดี,0
เขมรนี้เป็นหอกข้างแคร่ของสยามตั้งแต่สมัยสุโขทัยจริงๆ,0
จะผิดไหม ถ้าเราจะใช้พื่นที่ตรงนี้ระบายความในใจว่า ลุงหอก ก่อนห่วงเรื่องประเทศมีหน้ามีตามีศักดิ์ศรี ช่วยทำให้ประชาชนอยู่ดีกินดีก่อนได้ไหม,1
ไอ่เหี้ยวันนี้แม่งวันไรว่ะชิบหายทั้งวันอีหอกหัก เพื่อนก็ทะเลาะ กูไม่ผิดอีเหี้ย มึงแหละอีควาย แม่งมาด่าเหมารวมเพื่อนกูอีสัสสันดานเลว,1
เจอคนประสาท แม่งบ้า ในใจนี่สาปส่งไปแล้วว่าขอให้หอก เวรมาเวรกลับไม่โกง,1
อย่าว่าจะเป็นไข้อีกเด้อ กูเป็นพึ่งหายอีหอก,0
จะแคปเหี้ยไรนักหนาก็แคปไป แต่มึงช่วยปิดเสียงได้ไหม รำคาญญ ไอหอกหักคาหัว,1
อ้าวอีหอก เรียนพยาบาลมาสามปี จะเข้าราชการตามที่แม่บอก  สุดท้ายรัฐบาลไม่ให้พยาบาลบรรจุ  เป็นใครก้ไม่อยากอยู่หรอกค่ะ เหมือนโดนทิ้งตรงปากเหวอ่ะ,1
ในขณะที่กุมาทำงานข้างนอก เลขานายผญ โทรมาประหนึ่งว่ากุทำงานพลาด หอกไปดูก่อนไหมเรื่องงานนาย กุรอบครอบเสมอ  แล้วบอกว่าไม่ได้ดู แต่เสนอหน้า สัส,1
หัวร้อนเลยค่า ขอให้มึงไปเบียดยันสำโรง เบียดไม่ที่ไหนก็ในใจมึงนี่แหละอีหอก,1
ห้าแยกลาดพร้าว  ห้าแยกนรก แม่งจะติดหาหอกไรนักหนาวะ,0
หอกหัก เล่นทรศบนรถละปวดหัวชิบหาย,0
โอ้ยอีดอก รำคาญ กูชวนคุยก็ไม่คุยไม่พยายามต่อบทสนทนา ไปคุยกับเสาไฟฟ้าไปอีเวร หอกห่ามึงหนิ เดี๋ยวตบหัวแดนซ์เลยอีสัส,1
มองอะไรกัน กูทำไรผิดปะน่ะ ไม่มั่นใจตัวเองละอีหอกหัก,0
อีคนจีนด้วย พอกูบอกว่าผ่ายตุ้ยๆอีหอก พูดล้อเลียนกูอีก นิสัย,1
ทำไมเค้าต้องมาขอโทษพวกมึงอ่ะ แม่งงงงงง ทั้งๆที่เค้าเจ็บตัวและกลัวอ่ะ แล้วดูสิ่งที่มึงทำดิ อีหอก,1
อีห่าโกงหน้าด้านๆมากอีมาเล แล้วเจอกรรมหัวรวยด้วยนะ เป่าฟาวล์จังอีหอก,1
คนไทยก็ช่างสาระแนเรื่องของชาวบ้าน ยิ่งมีหัวหอกตัวนำอย่างมดดำ ยิ่งไม่รู้จักคำว่าล้ำเส้น คำว่าส่วนตัว เป็นกำลังใจให้คนของประชาชน,1
เจอค่ายผีใส่ไม่พอ เจอรายการเพลงผีใส่อีก ถ้ามึงจะเชิญศลปไปแล้วทำแบบนี้ทีหลังอย่าเชิญนะคะ อีหอก เสียความรู้สึกชิบหาย,1
ข้าวของมันก็แค่ข้าวของเว่ย ทำตัวเองดีกว่า แตกหักไปก็ซ่อมไม่ได้ แต่ได้แผลเป็นแทน หอกหัก,0
วันหยุดแล้วทำไมรถยังติดดดดด สายแน่เลยหอกกก,0
เป็นลูกกุนะ มีสนุกแน่ ครูแบบนี้ ยิ่งใหญ่มาจากไหน ต้องกราบไหว้เยี่ยงไพร่ เค้ายกเลิกระบบนี้ไปนานชาติละนะ,1
มันเป็นประเด็นการเลื่อนสถานะของชนชั้นล่างอ่ะ มันจะเป็นภาพดีก็ต่อเมื่อมึงยอมรับความไพร่ของตัวเอง แต่มันเสือกมีคนได้เลื่อนแต่ดันภาพบวกนี่สิ,1
อิอ้วนมากระจายขนใส่ตั้งกะเมื่อวาน ตอนนี้ยังเคืองลูกตาอยู่เลย  ทาสไพร่แมวที่แพ้ขนแมว,0
อิผีนี่น้องมันโง่หรือบ้าได้โควต้าหมอไม่เอา บอกว่ามวลเข้าง่ายไป เออเอาที่สบายใจ,1
แม้แต่สมัยประชาธิปไตย เสื้อแดงในโซเชียลยังใช้เรียกตัวเองว่าเป็นไพร่เลย แค่นี้ทำเป็นจำไม่ได้,1
เดินเบียดกะอีพวกไพร่แล้วน่ารำคาญ เดินเหมือนไม่มีวิญญาณ จะแซงก็ขวางจัง ควย,1
อาหารรสชาติไพร่มากแต่เสือกขายแพงบอกเฮลตี้ๆอีเหี้ย,1
นี่กรุงเทพ ไม่ใช่กรุงไพร่   เคยสงสัย พวกขนส่งสาธารณะทำไมไม่เคยได้รับการเหลียวแล พอนึกถึงชื่อเมืองนี้ ก็พอจะเข้าใจ นี่มันเมืองคนรวย,1
พวกไพร่เเถวถนนมิตรภาพถึงบ้านกันรึยัง,1
เห็นคนพวกนี้แล้วก็คิดนะว่า เออ มึงเหมาะแก่การกราบ การเลียตีน การเป็นอีไพร่ชั้นต่ำ และไม่ค้องได้รับการศึกษาเท่าไหร่หรอกเพราะโง่ ใช้แรงงานไป,1
ทวิตเน่าหรือเน็ตกูกาก,0
ไพร่ทาสห้ามมีกิ๊กนะเว้ย แต่จัสตินบีเบอร์จะมีเมียเท่าไหร่ก็ได้เพราะไม่ได้อยู่แผ่นดินแทบนี้,0
ไพร่แดงบอก ยิ่งลักษณ์ไม่ได้หนี แต่ถูก คมชอุ้ม เพื่อทำลายภาพลักษณ์นักประชาธิปไตย เอาเข้าไป,1
ต่อไปคนไทยจำนวนหนึ่งก็จะล้ำขึ้นไปอีกขั้นด้วยการมีป้ายห้อยคอบอกสถานะว่า มึง มึงเป็นพวกคนยากจนนะ มารับบัตรไป งี้,1
ตลกไพร่ควายแดงนั่งด่าลุงตู่แนะให้ชาวสวนยางปรับไปปลูกอย่างอื่น ยุคปูสั่งโค่นสวนยางเลยเว้ยเฮ้ยย,1
อิพวกเจ๊กนี่สันดานไพร่ชั้นต่ำจริงๆ พวกเศรษฐีใหม่ ไร้การศึกษา ไร้มารยาท มีแต่ตัวเน่าๆสันดานเหี้ยๆกับเงิน ถถถถถถ ต่ำได้อีก,1
พรุ่งนี้เงินเดือนออก บอกเฉยๆไม่ได้อวดเลยนะคะ อีพวกไพร่เงินเดือนไม่ออก,1
หลานนางก็กรี่มากเลย  เลยชี้หน้าด่าไป ผัวคนที่เท่าไหร่แล้วโทษที ปากดีเกินไปแล้วนะ อีไพร่,1
สันดานเเย่มาก มาจากสลัมกันหรอถึงไม่รู้จักมารยาทการต่อเเถวหนะ เห็นเเก่ตัว อย่าทำตัวเป็นไพร่ เพราะไพร่บ้างคนยังนิสัยดีกว่าคนสันดานเเบบมึง,1
สิ้นค้าเผด็จการยิ่งขายได้ คนไทยลูกทาสไพร่ยิ่งฉิบหาย เศรษฐกิจหนุนการเมืองด้วยส่วย การเมืองก็เอื้อผูกขาดเศรษฐกิจเช่นกัน,0
ชนชั้นไพร่ทาสอย่างกูก็ได้แต่บ่น สิทธิ์บ่นยังจะไม่มีเลยค่ะ อย่าพูดนะคะว่าทำไมไม่แก้ที่ตัวเอง บางอย่างมันทำไม่ได้ค่ะ ละจะมีรฐบไว้ทำมะเขืออะไร,1
บอกว่าเค้าไม่มีหางเสียงนี่ลูกไพร่และหน้าเหี้ยนะครับ เค้าแค่ไม่มีหางเสียงแต่คุณนี่ด่าเค้าด้วยคำหยาบนี่คือดีว่างั้น สัส คนบ้า,1
รากหญ้า ไพร่ทั้งหลาย ไม่มีพลังเปลี่ยนแปลงสังคม ไม่เหมือนกลุ่ม  กลุ่มชนชั้นกลาง ทั้งหลาย กลุ่มเล็กนิดเดียว แต่เสียงดังหมาแก่กล่าว,1
ผมรู้ว่าคุณเก่ง คุณชนะแล้ว  ผมเองที่กาก ผมยอมแพ้คับ,0
เป็นแค่ตัวประกอบในหนังจีนกากๆแค่นี้แม่งหลงคิดว่าตัวเองเป็นดาราฮอลลีวูดไอ้สัส,1
แต่งรถซะอย่างดี ขับได้กากสัส,1
แปลกากๆประมาณว่าแบบ ขอโทษกับเรื่องที่เกิดขึ้นในวันนี้ เป็นเรื่องที่น่าอับอาย หวังว่าแฟนๆจะไม่ได้รับบาดเจ็บ,0
ความตอแหลนี้จ้าาาาาาา ขอให้พลาดในเร็ววัน สะดุดล้มจนหน้ากากหลุด,1
เคยมีไอ้ชาติชั่วตัวนึงมันดูถูกไว้ ว่าเด็กติดเกม เรียนมหาลัยกาก เออ ตอนนี้เงินเดือนกูสองเท่ามึง  ซื้อรถเงินตัวเอง ส่วนมึงลูกจ้าง หนี้ท่วมตัว,1
หันปากกระบอกปืนไปทางทหารกากปลิงประเทศกันเถอะ ชาติ คือ ประชาชน ไม่ใช่นายทหารขี้โกงทรราชไม่กี่ตัว,1
เน็ตหอตอนนี้คือกากแบบ โอ้ย ใครมันมาแย่งกันเล่นนักหนา มึงไปนอนไป้,0
รถเมย์เหี้ยๆคนขับกากๆ บอสัดรถร่วมกาๆโละทิ้งไปเหอะ ขับยังกะแข่งกันไปตาย,1
อยากได้เหรียญขนาดนั้นก็ปิดประเทศเล่นเองเลยสิมาเลเซีย น่าอาย กากสัส,1
ระหว่างเนต  เลิกกาก กับประเทศไทยได้เลือกตั้ง นี่อะไรจะเกิดขึ้นก่อนกันครับ,0
คนปากดีนี่มักจะเล่นกากจริงๆ นะ  ตามไปดูหน้ามันในเฟซ,1
เลือกตั้งบ้านเรามันห่วยแตกมา  กว่าปีแล้ว โคตรกาก,1
การเมืองกากๆ กับพรรคการเมืองกากๆ เลื้อยมาโชว์ตัวฤดูใกล้เลือกตั้ง,1
หัวร้อนทุกครั้งที่คิดถึงประเทศไทย ความเป็นอยู่ก็กากรัฐบาลก็เฮ็งซวยแถมไม่ใช่มาจากการเลือกของกูอีก วิจารณ์ก็ไม่ได้ ดาก็ไม่ได้  เหลือเกิน,1
คือถ้าออกมายืนยันว่าไม่ได้โกง ก็คงคิดได้แค่ว่าพวกจัดงานกาก อย่าเอามาเหลือใดๆ ในงานระดับประเทศอีกเลยครับ,0
ชนะก็หาว่าโกง แพ้ก็หาว่ากาก นี่มันเรื่องจริงเลย สรุปแล้วควรอยู่ตรงจุดไหน ใยเติมใจเธอไม่เคยเต็ม,0
สินค้าหลายอย่างอยู่เฉยๆมันก็น่าใช้ พอโดนเซเลบเอามาขายเยอะๆ ติด  สร้างกระแสเยอะๆ ก็ไม่น่าใช้ขึ้นมาเลย ดูกากจนต้องขายโฆษณา,1
โปรแกรมมึงกากยังโทดกูอีก,1
ถ้าจะบอกว่าพูดเพื่อให้กระทบอีกคนก็บอกเลยว่าปัญญาอ่อนมาก,1
ถึงจะไม่ได้ชอบน้องนี แต่ความคิดชั่วๆของผชในเม้นท์มันก็พวกกากให้แช่งมันเป็นหมันไม่มีลูกเมียเหอะ,1
อะไรวะ รับน้องอะไรต้องรุนแรงขนาดนี้ด้วย บ้าไปแล้ว,0
ยิ่งมันโกงมากเท่าไหร่ แสดงว่ามันกลัวไทยมากเท่านั้น กากมาก,1
ชอบในความกาก ความเกรียน ความโกง ความเชี่ย ของมาเลจริง ด่าไปไม่สะเทือนเหมือนด่าใส่กำเเพง เหนื่อยจะด่ามันเหนือคำจะด่าเเล้วดอก,1
ไม่มีปัญญาเอาชนะชาวบ้านเขา เลยต้องโกงเอา พวกขี้กลาก กากเดน เหี้ยจริงๆ,1
เบื่อตัวเองที่ชอบเป็นโรคบ้าซื้อเครื่องสำอางค์ ขนาดไปเซเว่นก็บ้าซื้อครีมซอง ผีบ้า,0
ไม่รู้ว่าพวกบ้า มันจะเชียร์ให้อีปู ไปสู้กับใคร ดูฟอร์มแล้ว คงไม่หวังพ้นผิด เดินหน้า เล่นการเมือง อย่างเดียว,1
อยากใช้ชีวิตแบบไม่มีปัญหากับใครนี่ไม่ได้หรอวะ  ชาติที่แล้วไปทำอะไรไว้ มีผีบ้าคอยหาเรื่องตลอดเลย,0
อี  อีหอย นี่อุตส่าห์เดินไปหลังห้างเพื่อให้มันไปทางหลังห้าง นี่คุยโทรศัพท์อยู่ เงยหน้ามาแม่งอ้อมมาออกหน้าห้าง อีผีบ้า ต้องกลับรถเป็นกิโล,1
ถ้ารู้ว่าตัวเองไม่ถนัดพวกงานขายละจะเอาตัวเองไปอยู่ทำเพื่ออออ บ้าปะ,0
เมื่อคืนบ่นอะไรวะเนี่ย ไม่ใช่ไบโพล่าแล้ว นี่บ้าล้วนๆไม่มีสติผสม,1
ใครจะเลือกคนเหี่ยๆวะบ้าปะ,1
อีเหี้ยยยย ใครไปว่านาง พวกมึงบ้ากันปะเนี่ยยยยยยยย  อีเดาะ,1
เหนื่อยอีสัสเหนื่อย ตอนนี้งานดีและเรียนก็ดีและ เสือกมีปัญหาบ้าบอพวกนี้อีก โว้ยยยยยย,1
อเมริกาบ้าหรือเปล่าใช้งบวิจัยทหารอะไรขนาดนั้นเด่วนี้เขาไม่รบกันแร้ว สงสัยจะอยากเป็นประเทศด้อยพัฒนา,1
